symbol,grade,score,rs55_score,mom_score,base_score,vol_score,rsi_score,rs55_pct,rs55_rising_days,rs55_just_turned,rs55_at_new_high,rs55_declining,mom_percentile,base_range_pct,base_length,base_low,base_high,vol_trend_slope,rsi,sector
TATVA,B,77.3,30,23.3,3,15,6,17.143506761498983,5,False,True,False,93.3,0.2460781719253098,15,1044.0999755859375,1336.5999755859375,0.06741,62.32,Other
PRICOLLTD,B,76.9,27,18.9,6,15,10,8.816841777076,2,False,True,False,75.6,0.18453941755902606,15,508.95001220703125,612.5,0.02797,64.22,Other
CEATLTD,B,75.4,27,17.4,6,15,10,5.23023656808741,2,False,False,False,69.7,0.18320601932809683,15,3230.0,3879.0,0.04616,61.12,Other
STARHEALTH,B,75.4,30,16.4,6,15,8,23.841634964979775,4,False,True,False,65.5,0.15916045467628942,15,442.54998779296875,518.4000244140625,0.10303,75.09,Other
GABRIEL,B,75.1,27,23.1,3,12,10,17.426889404547175,2,False,True,False,92.4,0.2736692657044796,15,795.7000122070312,1048.699951171875,0.027,67.08,Other
FIEMIND,B,74.6,27,21.6,10,8,8,9.946252065546268,2,False,False,False,86.6,0.19905479924919944,15,1870.0999755859375,2292.699951171875,-0.01704,61.13,Other
AXISCADES,B,74.4,23,24.4,4,15,8,75.14716469672334,1,False,False,False,97.5,0.33120024380274643,15,1381.0,1941.0,0.07389,72.83,Other
GRAPHITE,B,73.8,27,20.8,3,15,8,20.266396932530405,2,False,False,False,83.2,0.25940140075653445,15,589.8499755859375,760.0,0.27313,70.28,Other
RAJRATAN,B,73.7,27,18.7,3,15,10,4.2413072422671005,3,True,False,False,74.8,0.3215087159736878,15,323.8999938964844,450.0,0.13269,65.74,Other
TIMKEN,B,73.2,23,20.2,9,15,6,20.70731776930228,1,False,False,False,80.7,0.1218694334026532,15,3201.39990234375,3618.0,0.05549,58.97,Other
CGPOWER,B,72.8,30,16.8,3,15,8,55.78822530671754,5,False,True,False,67.2,0.23264715415043402,15,651.5,819.5999755859375,0.09104,71.92,Other
NLCINDIA,B,71.9,30,13.9,3,15,10,27.38213534227465,4,False,True,False,55.5,0.20505400806347238,15,261.1000061035156,318.54998779296875,0.28533,67.76,Other
KAJARIACER,B,71.2,27,17.2,6,15,6,35.70686887585437,2,False,True,False,68.9,0.2756760609810447,15,911.5,1207.5999755859375,0.11054,76.55,Other
EDELWEISS,B,69.4,27,20.4,8,8,6,17.683009881143597,2,False,False,False,81.5,0.19705724792663884,15,99.0199966430664,121.0999984741211,-0.01754,61.27,Other
CANFINHOME,B,69.1,20,18.1,6,15,10,1.8102768237386435,2,True,False,False,72.3,0.16327471275253305,15,780.0,917.0,0.13769,63.62,Other
HEG,B,68.6,30,12.6,3,15,8,24.233458200506107,5,False,True,False,50.4,0.30976623904699485,15,498.0,678.0,0.13568,73.21,Other
DATAPATTNS,B,68.2,15,24.2,6,15,8,57.235119345139964,0,False,False,True,96.6,0.24254460929404809,30,2900.10009765625,3699.0,0.14412,63.82,Other
AARTIIND,B,68.2,23,12.2,11,12,10,31.998674978415153,1,False,False,False,48.7,0.14428080314077069,15,394.6000061035156,455.6000061035156,0.04528,62.05,Other
JKCEMENT,B,67.9,30,9.9,3,15,10,10.700940747718235,4,False,True,False,39.5,0.17988700703598967,15,4970.0,5947.5,0.04591,65.83,Other
NAVINFLUOR,B,67.8,15,21.8,6,15,10,11.213495190336985,0,False,False,True,87.4,0.15215147234597415,15,5666.5,6600.0,0.04943,56.31,Other
